V4	Cdk9as_DMSO_18Cr1_pr_counts	Cdk9as_DMSO_18Cr1gb_counts	Cdk9as_DMSO_18Cr1term_counts	Cdk9as_DMSO_18Cr1pr_map	Cdk9as_DMSO_18Cr1gb_map	Cdk9as_DMSO_18Cr1term_map	Cdk9as_DMSO_18Cr1pr_density	Cdk9as_DMSO_18Cr1pr_densityRPKM	Cdk9as_DMSO_18Cr1gb_density	Cdk9as_DMSO_18Cr1gb_densityRPKM	Cdk9as_DMSO_18Cr1pause_index_CI_low	Cdk9as_DMSO_18Cr1pause_index_CI_high	Cdk9as_DMSO_18Cr1pause_index_scaled	Cdk9as_DMSO_18Cr1pause_index_CI_low_scaled	Cdk9as_DMSO_18Cr1pause_index_CI_high_scaled	Cdk9as_DMSO_18Cr1_ExpPR	Cdk9as_DMSO_18Cr1_ExpGB	Cdk9as_DMSO_18Cr1Fexact_Pval
SPAC10F6.07c	25	94	50	100	366	300	0.25	64.8818281311516	0.256830601092896	66.6545556757186	0.166843771092976	0.421120115283474	0.973404255319149	0.610648202200291	1.54129962193751	25	100	1
SPAC10F6.08c	47	160	30	100	983	300	0.47	121.977836886565	0.162767039674466	42.2424923743001	0.20933404441111	0.41117204548757	2.8875625	2.05775365656121	4.04182120714282	20	127	0.00142977648893119
SPAC10F6.09c	36	594	83	100	3689	300	0.36	93.4298325088583	0.161019246408241	41.7888922850681	0.0426289035934438	0.0857757312748448	2.23575757575758	1.57258025356214	3.16426672672902	18	118	0.695564037675611
SPAC10F6.10	2	120	31	100	1670	300	0.02	5.19054625049213	0.0718562874251497	18.6486691634448	0.00285266339511756	0.0682465855228701	0.278333333333333	0.0476394786984633	1.13971797823193	6	96	1
SPAC10F6.11c	16	341	4	100	2545	300	0.16	41.524370003937	0.133988212180747	34.7736006172459	0.0274285492237934	0.0790334345430291	1.1941348973607	0.698056577745543	2.01140090912009	13	103	1
SPAC10F6.12c	64	76	24	100	987	300	0.64	166.097480015748	0.0770010131712259	19.9838660100001	0.596028533633842	1.18927492506562	8.31157894736842	5.88280162696602	11.7381435103977	11	153	1.37455106373827e-20
SPAC10F6.13c	199	1012	275	100	1199	300	1.99	516.459351923967	0.844036697247706	219.050575708842	0.168405251493075	0.229537691977591	2.35771739130435	2.01917896540197	2.75215692681132	136	163	5.60260606191973e-08
SPAC10F6.14c	12	186	236	100	1579	300	0.12	31.1432775029528	0.117796073464218	30.5712983721196	0.0342820750288224	0.118582814393583	1.01870967741935	0.541313964705106	1.87242263927467	11	101	1
SPAC10F6.15	2	10	1	100	1234	300	0.02	5.19054625049213	0.00810372771474878	2.10313867523992	0.0303002114505232	0.965353981350509	2.468	0.373904609299456	11.9124681298653	0	102	1
SPAC10F6.16	96	290	237	100	1061	300	0.96	249.146220023622	0.273327049952875	70.9358347145484	0.261020992153034	0.419482282977444	3.51227586206897	2.76943272674369	4.45070702239068	42	154	2.75419995352433e-11
