V4	Fisher_dis2_T316A_r2_pr_counts	Fisher_dis2_T316A_r2gb_counts	Fisher_dis2_T316A_r2term_counts	Fisher_dis2_T316A_r2pr_map	Fisher_dis2_T316A_r2gb_map	Fisher_dis2_T316A_r2term_map	Fisher_dis2_T316A_r2pr_density	Fisher_dis2_T316A_r2pr_densityRPKM	Fisher_dis2_T316A_r2gb_density	Fisher_dis2_T316A_r2gb_densityRPKM	Fisher_dis2_T316A_r2pause_index_CI_low	Fisher_dis2_T316A_r2pause_index_CI_high	Fisher_dis2_T316A_r2pause_index_scaled	Fisher_dis2_T316A_r2pause_index_CI_low_scaled	Fisher_dis2_T316A_r2pause_index_CI_high_scaled	Fisher_dis2_T316A_r2_ExpPR	Fisher_dis2_T316A_r2_ExpGB	Fisher_dis2_T316A_r2Fexact_Pval
SPNCRNA.1026	0	23	0	100	3004	300	0	0	0.00765645805592543	9.50374933241326	0.00399043342974737	0.216691035021888	0	0.119872620229611	6.50939869205752	0	100	1
SPNCRNA.1027	1	51	2	100	2960	300	0.01	12.4127230411171	0.0172297297297297	21.3867863208437	0.00100567785774732	0.130998981520172	0.580392156862745	0.0297680645893206	3.87756985299709	1	100	1
SPNCRNA.1028	3	9	2	100	772	300	0.03	37.2381691233514	0.0116580310880829	14.4707911101107	0.071737496193308	1.33450631594981	2.57333333333333	0.553813470612338	10.3023887591325	1	102	1
SPNCRNA.1029	2	11	1	100	1217	300	0.02	24.8254460822343	0.00903861955628595	11.2193881226203	0.0278623380972679	0.863501028037994	2.21272727272727	0.33908465464375	10.5088075112224	0	102	1
SPNCRNA.103	5	13	24	100	385	300	0.05	62.0636152055857	0.0337662337662338	41.9130907881878	0.119978551159896	1.15490291840107	1.48076923076923	0.461917421965599	4.4463762358441	3	102	1
SPNCRNA.1030	0	1	1	100	1127	300	0	0	0.000887311446317658	1.10139512343542	0.120791776113059	17.3080587281839	0	1.36132331679417	195.061821866633	0	100	1
SPNCRNA.1031	0	14	0	100	2120	300	0	0	0.00660377358490566	8.19708125356792	0.0065974714867639	0.365411596620526	0	0.139866395519395	7.74672584835516	0	100	1
SPNCRNA.1032	0	30	76	100	295	300	0	0	0.101694915254237	126.231081774073	0.00305234191746883	0.164578840345685	0	0.00900440865653306	0.485507579019772	9	91	1
SPNCRNA.1033	20	98	0	100	2426	300	0.2	248.254460822343	0.0403957131079967	50.1420798857989	0.122360534091976	0.33702639442531	4.95102040816327	2.96846655707134	8.17626032875802	4	116	0.000946500297556884
SPNCRNA.1034	0	0	0	100	206	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
