V4	Fisher_WT_r2_pr_counts	Fisher_WT_r2gb_counts	Fisher_WT_r2term_counts	Fisher_WT_r2pr_map	Fisher_WT_r2gb_map	Fisher_WT_r2term_map	Fisher_WT_r2pr_density	Fisher_WT_r2pr_densityRPKM	Fisher_WT_r2gb_density	Fisher_WT_r2gb_densityRPKM	Fisher_WT_r2pause_index_CI_low	Fisher_WT_r2pause_index_CI_high	Fisher_WT_r2pause_index_scaled	Fisher_WT_r2pause_index_CI_low_scaled	Fisher_WT_r2pause_index_CI_high_scaled	Fisher_WT_r2_ExpPR	Fisher_WT_r2_ExpGB	Fisher_WT_r2Fexact_Pval
SPAC10F6.06	5	70	150	100	890	300	0.05	116.191790817595	0.0786516853932584	182.773603533296	0.025433326767129	0.183858040544451	0.635714285714286	0.226356608227448	1.63633656084561	7	98	1
SPAC10F6.07c	3	3	0	100	366	300	0.03	69.7150744905571	0.00819672131147541	19.0478345602615	0.162070833932487	6.17014163335868	3.66	0.593179252192903	22.5827183780928	0	103	1
SPAC10F6.08c	7	12	1	100	983	300	0.07	162.668507144633	0.0122075279755849	28.3682907387821	0.208167514267631	1.58848024442195	5.73416666666667	2.04628666525082	15.6147608026678	1	106	1
SPAC10F6.09c	1	67	14	100	3689	300	0.01	23.238358163519	0.0181621035510979	42.2057467323333	0.000768718145976326	0.0990451196584708	0.550597014925373	0.0283580124050667	3.65377446420099	1	100	1
SPAC10F6.10	0	37	3	100	1670	300	0	0	0.0221556886227545	51.4861827574972	0.00247136631781596	0.132669995524611	0	0.0412718175075265	2.21558892526101	2	98	1
SPAC10F6.11c	1	40	3	100	2545	300	0.01	23.238358163519	0.0157170923379175	36.5239421037627	0.00127611792778602	0.168327520214101	0.63625	0.0324772012621541	4.28393538944888	1	100	1
SPAC10F6.12c	2	14	5	100	987	300	0.02	46.4767163270381	0.0141843971631206	32.9622101610199	0.0224451794089099	0.655283897988541	1.41	0.221533920765941	6.4676520731469	1	101	1
SPAC10F6.13c	14	51	16	100	1199	300	0.14	325.337014289266	0.042535446205171	98.8453933560859	0.14521287950518	0.51075292432185	3.29137254901961	1.74110242526711	6.12392756261899	4	110	1
SPAC10F6.14c	0	32	14	100	1579	300	0	0	0.0202659911336289	47.0948360501969	0.00286022979559656	0.15399674612007	0	0.0451630284724697	2.4316086212359	1	99	1
SPAC10F6.15	0	1	0	100	1234	300	0	0	0.000810372771474878	1.88317327094968	0.120791776113059	17.3080587281839	0	1.49057051723515	213.58144470579	0	100	1
SPAC10F6.16	0	22	17	100	1061	300	0	0	0.0207351555136664	48.1850970402845	0.00417368066078422	0.226956323474185	0	0.0442827518109206	2.4080065920611	2	98	1
SPAC10F6.17c	0	27	0	100	1801	300	0	0	0.0149916712937257	34.8381826993345	0.00339432100419189	0.183491530730493	0	0.061131721285496	3.30468246845617	1	99	1
SPAC110.01	0	445	13	100	5792	300	0	0	0.0768301104972376	178.540562547755	0.000204349906863015	0.0107843134955687	0	0.0118359466055058	0.624627437663337	7	93	1
SPAC110.02	6	66	5	100	3853	300	0.06	139.430148981114	0.0171295094731378	39.8061676302169	0.0355520580985064	0.21770682468749	3.50272727272727	1.36982079853545	8.38824395520898	1	105	1
SPAC110.03	0	87	31	100	1448	300	0	0	0.0600828729281768	139.622732059817	0.00104739323259198	0.0556266725263707	0	0.0151662540079319	0.805474218181848	5	95	1
SPAC110.04c	3	303	13	100	2755	300	0.03	69.7150744905571	0.109981851179673	255.57976492001	0.00254183647002723	0.0317731365781753	0.272772277227723	0.0700275947492502	0.87534991272873	10	93	1
SPAC110.05	1	10	1	100	1707	300	0.01	23.238358163519	0.00585823081429408	13.613566586713	0.00478667548335045	0.750794709134687	1.707	0.0817085505007922	12.8160656849291	0	101	1
SPAC1142.01	19	43	1	100	1904	300	0.19	441.528805106862	0.0225840336134454	52.4815861886197	0.248449950245876	0.779403311219614	8.41302325581395	4.73048705268148	14.8398390456215	2	117	2.40739504011723e-06
SPAC1142.02c	18	59	16	100	1080	300	0.18	418.290446943343	0.0546296296296296	126.950289967372	0.173661645344095	0.530337977409714	3.29491525423729	1.87554576971623	5.72765015602491	6	112	0.850626021121355
SPAC1142.03c	0	21	26	100	2243	300	0	0	0.00936246098974588	21.756822177169	0.00437456871201282	0.238242196120647	0	0.0981215762104475	5.34377245898612	0	100	1
SPAC1142.04	0	75	23	100	2169	300	0	0	0.0345781466113416	80.3539355585029	0.00121547503949483	0.0646352056966976	0	0.0263636536066429	1.40193761156137	3	97	1
SPAC1142.05	0	30	8	100	969	300	0	0	0.0309597523219814	71.9453813112044	0.00305234191746883	0.164578840345685	0	0.029577193180273	1.59476896294969	3	97	1
SPAC1142.06	0	36	4	100	1508	300	0	0	0.0238726790450928	55.4761865972603	0.00254044356681343	0.136449384104687	0	0.0383098889875465	2.05765671229868	2	98	1
SPAC1142.07c	0	16	5	100	1016	300	0	0	0.015748031496063	36.595839627589	0.00576104614150375	0.317064970660191	0	0.0585322287976781	3.22138010190754	1	99	1
SPAC1142.08	0	55	35	100	2324	300	0	0	0.0236660929432014	54.9961144145244	0.0016592631470071	0.0885300344192424	0	0.0385612755364449	2.05743799990319	2	98	1
SPAC1142.09	1	0	3	100	3	300	0.01	23.238358163519	0	0	0.0577765545925511	8.27870929775896	NA	0.00173329663777653	0.248361278932769	0	101	1
SPAC11D3.01c	9	1	1	100	130	300	0.09	209.145223471671	0.00769230769230769	17.8756601257839	1.17938036898764	189.755908775666	11.7	1.53319447968393	246.682681408366	0	109	1
SPAC11D3.02c	3	14	12	100	450	300	0.03	69.7150744905571	0.0311111111111111	72.2971142865036	0.0490202656367911	0.791973133215248	0.964285714285714	0.22059119536556	3.56387909946861	3	100	1
SPAC11D3.03c	0	2	1	100	1284	300	0	0	0.00155763239875389	3.61968195693443	0.0514242900386907	4.05388820080272	0	0.660287884096789	52.051924498307	0	100	1
SPAC11D3.04c	0	11	0	100	1836	300	0	0	0.00599128540305011	13.9227636055942	0.00843437698064696	0.473726222726494	0	0.154855161364678	8.69761344925843	0	100	1
SPAC11D3.05	1	162	2	100	1753	300	0.01	23.238358163519	0.0924130062749572	214.752653878499	0.000320432147040528	0.0404502650179747	0.10820987654321	0.00561717553762045	0.709093145765097	8	93	1
SPAC11D3.06	0	31	2	100	1521	300	0	0	0.0203813280736358	47.3628601623333	0.00295316473031761	0.159112070807008	0	0.0449176355481309	2.4200945969746	1	99	1
SPAC11D3.07c	1	74	0	100	4030	300	0.01	23.238358163519	0.0183622828784119	42.6709306228389	0.000696880525014842	0.0894938242238789	0.544594594594595	0.0280842851580981	3.60660111622232	1	100	1
SPAC11D3.08c	0	54	5	100	3214	300	0	0	0.0168014934660859	39.0439122846928	0.00169011755890912	0.0901972480139864	0	0.0543203783433391	2.89893955116952	1	99	1
SPAC11D3.09	1	1	3	100	1729	300	0.01	23.238358163519	0.000578368999421631	1.3440345959236	0.027408528703162	36.4849938072245	17.29	0.473893461277671	630.825542926912	0	101	1
SPAC11D3.10	0	14	0	100	4126	300	0	0	0.00339311682016481	7.88504639576506	0.0065974714867639	0.365411596620526	0	0.272211673543878	15.0768824765629	0	100	1
SPAC11D3.11c	1	25	3	100	2151	300	0.01	23.238358163519	0.0116225011622501	27.0087844764284	0.00201502960057811	0.275223236161762	0.8604	0.0433432867084352	5.9200518098395	1	100	1
SPAC11D3.13	0	6	11	100	920	300	0	0	0.00652173913043478	15.1554509762081	0.0157393406208896	0.93492067967121	0	0.144801933712184	8.60127025297513	0	100	1
SPAC11D3.14c	1	89	0	100	4308	300	0.01	23.238358163519	0.0206592386258124	48.0086786572236	0.000580611590882612	0.0741669819224664	0.484044943820225	0.0250127473352229	3.19511358121985	2	99	1
SPAC11D3.15	0	64	1	100	3921	300	0	0	0.0163223667431778	37.9305004454276	0.00142511423979771	0.0759029537004353	0	0.0558787293424683	2.97615481459407	1	99	1
SPAC11D3.16c	0	25	35	100	945	300	0	0	0.0264550264550265	61.4771379987276	0.00366831680942558	0.19871450933181	0	0.0346655938490717	1.87785211318561	2	98	1
SPAC11D3.17	0	22	4	100	3291	300	0	0	0.00668489820723184	15.534605882632	0.00417368066078422	0.226956323474185	0	0.137355830546409	7.46913260553543	0	100	1
SPAC11D3.18c	2	42	3	100	2031	300	0.02	46.4767163270381	0.0206794682422452	48.0556889644411	0.00797536691687462	0.200526163723088	0.967142857142857	0.161979702081723	4.07268638521592	2	100	1
SPAC11D3.19	1	3	0	100	1210	300	0.01	23.238358163519	0.00247933884297521	5.76157640417827	0.0133674946082822	3.55733427163736	4.03333333333333	0.161746684760214	43.043744686812	0	101	1
SPAC11E3.01c	4	74	6	100	3812	300	0.04	92.9534326540761	0.0194123819517314	45.1111884601366	0.0168338161572729	0.153492645237905	2.06054054054054	0.641705071915245	5.85113963646894	1	103	1
SPAC11E3.02c	0	80	6	100	3850	300	0	0	0.0207792207792208	48.2874974826369	0.00113929585402706	0.0605494800111063	0	0.0438628903800419	2.33115498042759	2	98	1
SPAC11E3.03	0	1	2	100	987	300	0	0	0.00101317122593718	2.35444358292999	0.120791776113059	17.3080587281839	0	1.19221483023589	170.830539647175	0	100	1
SPAC11E3.04c	0	30	4	100	714	300	0	0	0.0420168067226891	97.6401603509203	0.00305234191746883	0.164578840345685	0	0.0217937212907275	1.17509292006819	4	96	1
SPAC11E3.05	1	43	5	100	3997	300	0.01	23.238358163519	0.0107580685514136	24.9999850145439	0.00118892238367991	0.15619027355955	0.92953488372093	0.047521227675686	6.2429252341752	1	100	1
SPAC11E3.06	1	0	0	100	1847	300	0.01	23.238358163519	0	0	0.0577765545925511	8.27870929775896	NA	1.06713296332442	152.907760729608	0	101	1
SPAC11E3.07	1	26	19	100	1208	300	0.01	23.238358163519	0.021523178807947	50.0163337956535	0.00194013628088687	0.264049615251165	0.464615384615385	0.0234368462731134	3.18971935223408	2	99	1
SPAC11E3.08c	2	15	2	100	1531	300	0.02	46.4767163270381	0.00979751796211626	22.7678231517169	0.0210791526483131	0.606412790019809	2.04133333333333	0.322721827045674	9.28417981520327	0	102	1
SPAC11E3.09	0	32	2	100	1333	300	0	0	0.0240060015003751	55.7860060939692	0.00286022979559656	0.15399674612007	0	0.0381268631753022	2.05277662578053	2	98	1
SPAC11E3.10	1	36	7	100	1069	300	0.01	23.238358163519	0.0336763330215154	78.2582688387919	0.00141443034567027	0.187781775803804	0.296944444444444	0.0151202603952152	2.00738718334266	3	98	1
SPAC11E3.11c	0	61	4	100	3255	300	0	0	0.0187403993855607	43.5496113049051	0.00149545868574188	0.0796917976497406	0	0.0486771802208981	2.59396801349906	1	99	1
SPAC11E3.12	0	6	0	100	2724	300	0	0	0.00220264317180617	5.11858109328613	0.0157393406208896	0.93492067967121	0	0.428739638513032	25.4672393142438	0	100	1
SPAC11E3.13c	11	245	23	100	2103	300	0.11	255.621939798709	0.116500237755587	270.727425109946	0.0232800188893476	0.0842668753793866	0.944204081632653	0.489578797242981	1.7721323892285	11	100	1
SPAC11E3.14	1	77	13	100	2681	300	0.01	23.238358163519	0.0287206266318538	66.7420208351722	0.000670044888437859	0.0859418686347986	0.348181818181818	0.017963903459019	2.30410149809895	2	99	1
SPAC11E3.15	19	77	93	100	406	300	0.19	441.528805106862	0.189655172413793	440.727482411568	0.144513019767502	0.417005809017434	1.00181818181818	0.586722860256057	1.69304358461078	18	101	1
SPAC11G7.01	6	214	10	100	2966	300	0.06	139.430148981114	0.0721510451786918	167.667182973468	0.0112597682166569	0.0652182937837496	0.831588785046729	0.333964725306044	1.93437459362601	7	99	1
SPAC11G7.02	4	107	16	100	2923	300	0.04	92.9534326540761	0.0366062264796442	85.0668601948866	0.011742712368021	0.105116595330587	1.09271028037383	0.343239482517254	3.07255808151306	3	101	1
SPAC11G7.03	0	25	7	100	1164	300	0	0	0.0214776632302405	49.9105630659773	0.00366831680942558	0.19871450933181	0	0.0426992076617137	2.31303688862227	2	98	1
SPAC11G7.04	3	11	76	93	363	300	0.032258064516129	74.9624456887711	0.0303030303030303	70.4192671621789	0.060516818949439	1.0484994078404	1.06451612903226	0.23621080944781	4.0925299467319	2	94	1
SPAC11G7.05c	2	21	0	100	1975	296	0.02	46.4767163270381	0.0106329113924051	24.7091403257671	0.0154410000460713	0.418616073048669	1.88095238095238	0.304959750909907	8.26766744271122	1	101	1
SPAC11G7.06c	0	10	3	100	2860	300	0	0	0.0034965034965035	8.12530005717449	0.00929728784483565	0.525639636497703	0	0.2659024323623	15.0332936038343	0	100	1
SPAC11H11.01	0	4	0	100	1378	300	0	0	0.00290275761973875	6.74553212293731	0.0240893601812892	1.52670069174082	0	0.331951383298165	21.0379355321885	0	100	1
SPAC11H11.02c	0	27	0	100	2839	300	0	0	0.0095103909827404	22.1005871932023	0.00339432100419189	0.183491530730493	0	0.0963647733090078	5.20932455743869	0	100	1
SPAC11H11.03c	0	11	3	100	1081	300	0	0	0.0101757631822387	23.6468029416012	0.00843437698064696	0.473726222726494	0	0.0911756151607936	5.1209804676734	1	99	1
SPAC11H11.04	0	0	1	100	1498	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC11H11.05c	0	0	1	100	59	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC11H11.06	8	106	8	100	1533	300	0.08	185.906865308152	0.0691454664057404	160.682711372017	0.0341244487304202	0.159882469895059	1.15698113207547	0.523127799037342	2.45099826349125	6	102	1
SPAC1250.01	1	78	8	100	3829	300	0.01	23.238358163519	0.0203708540088796	47.3385201555102	0.000661553141401155	0.084819711825921	0.490897435897436	0.0253308697842502	3.24774676581451	2	99	1
SPAC1250.02	0	10	0	100	718	300	0	0	0.0139275766016713	32.3654013419485	0.00929728784483565	0.525639636497703	0	0.06675452672592	3.77409259005351	1	99	1
SPAC1250.03	0	19	6	100	937	300	0	0	0.0202774813233725	47.1215373646597	0.00484054272324269	0.264551414760663	0	0.045355885316784	2.47884675630742	1	99	1
