V4	Fisher_dis2_11_r2_pr_counts	Fisher_dis2_11_r2gb_counts	Fisher_dis2_11_r2term_counts	Fisher_dis2_11_r2pr_map	Fisher_dis2_11_r2gb_map	Fisher_dis2_11_r2term_map	Fisher_dis2_11_r2pr_density	Fisher_dis2_11_r2pr_densityRPKM	Fisher_dis2_11_r2gb_density	Fisher_dis2_11_r2gb_densityRPKM	Fisher_dis2_11_r2pause_index_CI_low	Fisher_dis2_11_r2pause_index_CI_high	Fisher_dis2_11_r2pause_index_scaled	Fisher_dis2_11_r2pause_index_CI_low_scaled	Fisher_dis2_11_r2pause_index_CI_high_scaled	Fisher_dis2_11_r2_ExpPR	Fisher_dis2_11_r2_ExpGB	Fisher_dis2_11_r2Fexact_Pval
SPNCRNA.1222	0	5	2	100	923	300	0	0	0.00541711809317443	8.70524632429418	0.0190383591688732	1.16008855872718	0	0.1757240551287	10.7076173970519	0	100	1
SPNCRNA.1223	0	1	0	100	1499	300	0	0	0.00066711140760507	1.07204034120394	0.120791776113059	17.3080587281839	0	1.81066872393475	259.447800335477	0	100	1
SPNCRNA.1224	0	0	0	100	979	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1225	4	1	0	100	853	300	0.04	64.2795388585882	0.00117233294255569	1.88392552340528	0.426108445717464	93.9671732569018	34.12	3.63470504196997	801.539987881373	0	104	1
SPNCRNA.1226	0	35	8	100	3633	300	0	0	0.00963391136801541	15.4815845035135	0.00261349347422073	0.140450384980723	0	0.0949482179184391	5.10256248634965	0	100	1
SPNCRNA.1227	1	24	1	100	3647	300	0.01	16.0698847146471	0.00658075130244036	10.575191476598	0.00209593717773238	0.287382877405496	1.51958333333333	0.0764388288719	10.4808535389784	0	101	1
SPNCRNA.1228	0	4	2	100	1584	300	0	0	0.00252525252525253	4.05805169561794	0.0240893601812892	1.52670069174082	0	0.381575465271621	24.1829389571746	0	100	1
SPNCRNA.1229	0	0	4	100	985	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.123	1	4	18	100	250	300	0.01	16.0698847146471	0.016	25.7118155434353	0.0106420142837121	2.34682041637603	0.625	0.0266050357092803	5.86705104094007	1	100	1
SPNCRNA.1230	0	5	0	100	953	300	0	0	0.00524658971668416	8.43120918921671	0.0190383591688732	1.16008855872718	0	0.181435562879362	11.05564396467	0	100	1
SPNCRNA.1231	0	5	0	100	1003	300	0	0	0.00498504486540379	8.01090962843822	0.0190383591688732	1.16008855872718	0	0.190954742463798	11.6356882440336	0	100	1
SPNCRNA.1232	0	6	1	100	770	300	0	0	0.00779220779220779	12.5219880893354	0.0157393406208896	0.93492067967121	0	0.12119292278085	7.19888923346832	0	100	1
SPNCRNA.1233	0	1	0	100	833	300	0	0	0.00120048019207683	1.9291578288892	0.120791776113059	17.3080587281839	0	1.00619549502178	144.176129205772	0	100	1
