V4	Fisher_dis2_T316D_r1_pr_counts	Fisher_dis2_T316D_r1gb_counts	Fisher_dis2_T316D_r1term_counts	Fisher_dis2_T316D_r1pr_map	Fisher_dis2_T316D_r1gb_map	Fisher_dis2_T316D_r1term_map	Fisher_dis2_T316D_r1pr_density	Fisher_dis2_T316D_r1pr_densityRPKM	Fisher_dis2_T316D_r1gb_density	Fisher_dis2_T316D_r1gb_densityRPKM	Fisher_dis2_T316D_r1pause_index_CI_low	Fisher_dis2_T316D_r1pause_index_CI_high	Fisher_dis2_T316D_r1pause_index_scaled	Fisher_dis2_T316D_r1pause_index_CI_low_scaled	Fisher_dis2_T316D_r1pause_index_CI_high_scaled	Fisher_dis2_T316D_r1_ExpPR	Fisher_dis2_T316D_r1_ExpGB	Fisher_dis2_T316D_r1Fexact_Pval
SPNCRNA.36	2	3	2	100	228	300	0.02	7.11471336954248	0.0131578947368421	4.68073247996216	0.0782648165603505	4.86773260028688	1.52	0.178443781757599	11.0984303286541	1	101	1
SPNCRNA.364	0	0	0	0	35	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.366	0	0	0	0	35	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.368	0	0	0	0	14	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.37	0	0	3	97	198	300	0	0	0	0	NA	NA	NA	NA	NA	0	97	1
SPNCRNA.370	0	1	0	100	277	300	0	0	0.0036101083032491	1.28424429053113	0.120791776113059	17.3080587281839	0	0.334593219833173	47.9433226770695	0	100	1
SPNCRNA.373	0	0	0	0	35	35	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.374	0	0	1	100	249	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.376	0	0	0	100	301	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.377	0	0	0	100	197	297	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.379	4	20	11	100	459	300	0.04	14.229426739085	0.0435729847494553	15.500464857391	0.0579647536940266	0.617796832978937	0.918	0.266058219455582	2.83568746337332	4	100	1
SPNCRNA.38	3	9	17	100	234	300	0.03	10.6720700543137	0.0384615384615385	13.682141095274	0.071737496193308	1.33450631594981	0.78	0.167865741092341	3.12274477932255	3	100	1
SPNCRNA.380	17	81	2	100	1332	300	0.17	60.4750636411111	0.0608108108108108	21.6325744344197	0.119988344502414	0.362510784531156	2.79555555555556	1.59824474877215	4.828643649955	6	111	1
SPNCRNA.382	0	5	0	100	478	272	0	0	0.0104602510460251	3.72108439829628	0.0190383591688732	1.16008855872718	0	0.0910033568272139	5.54522331071593	1	99	1
SPNCRNA.383	14	0	2	100	166	300	0.14	49.8029935867974	0	0	2.73664002250723	151.573220438496	NA	4.542822437362	251.611545927903	0	114	0.0137292722857712
SPNCRNA.384	0	0	3	100	574	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.385	3	0	3	100	375	300	0.03	10.6720700543137	0	0	0.449250381531113	30.4904450141133	NA	1.68468893074167	114.339168802925	0	103	1
SPNCRNA.387	0	0	68	100	952	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.388	99	857	23	100	1330	300	0.99	352.178311792353	0.644360902255639	229.222156304433	0.0932840727989752	0.142918632480404	1.53640606767795	1.24067816822637	1.90081781198937	77	122	1
SPNCRNA.39	0	0	9	100	43	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.392	0	21	13	100	331	300	0	0	0.0634441087613293	22.5693324411468	0.00437456871201282	0.238242196120647	0	0.0144798224367624	0.788581669159343	5	95	1
SPNCRNA.393	0	0	0	100	186	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.394	0	0	0	100	784	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.399	0	11	5	100	973	300	0	0	0.0113052415210689	4.02167764979277	0.00843437698064696	0.473726222726494	0	0.0820664880216949	4.60935614712879	1	99	1
SPNCRNA.400	3	14	62	100	509	300	0.03	10.6720700543137	0.0275049115913556	9.78447811135508	0.0490202656367911	0.791973133215248	1.09071428571429	0.249513152091267	4.03114324806561	2	101	1
SPNCRNA.401	0	0	0	100	419	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.402	3	145	56	100	1081	300	0.03	10.6720700543137	0.13413506012951	47.7166252813904	0.00527731767854363	0.0669020978774866	0.223655172413793	0.0570478041050567	0.72321167805563	12	91	1
SPNCRNA.403	1	9	27	100	711	300	0.01	3.55735668477124	0.0126582278481013	4.50298314528005	0.00526992812214453	0.847902870266008	0.79	0.0374691889484476	6.02858940759132	1	100	1
