V4	Fisher_dis2Del_r1_pr_counts	Fisher_dis2Del_r1gb_counts	Fisher_dis2Del_r1term_counts	Fisher_dis2Del_r1pr_map	Fisher_dis2Del_r1gb_map	Fisher_dis2Del_r1term_map	Fisher_dis2Del_r1pr_density	Fisher_dis2Del_r1pr_densityRPKM	Fisher_dis2Del_r1gb_density	Fisher_dis2Del_r1gb_densityRPKM	Fisher_dis2Del_r1pause_index_CI_low	Fisher_dis2Del_r1pause_index_CI_high	Fisher_dis2Del_r1pause_index_scaled	Fisher_dis2Del_r1pause_index_CI_low_scaled	Fisher_dis2Del_r1pause_index_CI_high_scaled	Fisher_dis2Del_r1_ExpPR	Fisher_dis2Del_r1_ExpGB	Fisher_dis2Del_r1Fexact_Pval
SPAC1093.01	29	1353	131	100	5223	300	0.29	184.375862275046	0.25904652498564	164.696297977868	0.0145606879112496	0.0313500444997905	1.11949002217295	0.760504729604565	1.63741282422406	26	103	1
SPAC1093.02	36	80	96	100	992	300	0.36	228.880380755229	0.0806451612903226	51.2724867283219	0.297874579991008	0.677710368602902	4.464	2.9549158335108	6.72288685654079	10	126	4.8277393226692e-06
SPAC1093.03	13	160	20	100	3353	300	0.13	82.6512486060549	0.0477184610796302	30.3383876137759	0.044137395159899	0.146502858452233	2.7243125	1.47992685971141	4.91224084390337	5	108	1
SPAC1093.04c	7	181	3	100	4949	300	0.07	44.5045184801834	0.036573045059608	23.2523679961701	0.0166863613767383	0.0849438597035186	1.91397790055249	0.825808024534779	4.20387161672714	3	104	1
SPAC1093.05	10	156	43	100	2479	300	0.1	63.5778835431191	0.0629286002420331	40.0086721771948	0.031888699768952	0.124921197335938	1.58910256410256	0.790520867272321	3.09679648195789	6	104	1
SPAC1093.06c	2	964	8	100	12942	300	0.02	12.7155767086238	0.0744861690619688	47.3567298219494	0.000358820014685107	0.0083836951199182	0.26850622406639	0.0464384863005466	1.08501782241981	7	95	1
SPAC1093.07	0	32	14	100	1791	300	0	0	0.0178671133445003	11.3595325146835	0.00286022979559656	0.15399674612007	0	0.0512267156391344	2.75808172301045	1	99	1
SPAC10F6.01c	35	1337	156	100	4905	300	0.35	222.522592400917	0.272579001019368	173.299959831091	0.0184263656879822	0.0370122145077696	1.28403141361257	0.903813236995524	1.8154491216061	28	107	1
SPAC10F6.02c	10	108	21	100	3591	300	0.1	63.5778835431191	0.0300751879699248	19.121167982893	0.0456376368360815	0.18221689157074	3.325	1.63884753878369	6.54340857630529	3	107	1
SPAC10F6.03c	40	499	80	100	2113	300	0.4	254.311534172477	0.236157122574539	150.143700369221	0.0572770336588328	0.111759111038916	1.6937875751503	1.21026372121114	2.36147001625229	26	114	1
SPAC10F6.04	0	107	5	100	2665	300	0	0	0.0401500938086304	25.5265798841041	0.000851210776203672	0.0451407668396882	0	0.0226847671858278	1.20300143627769	3	97	1
SPAC10F6.05c	2	47	40	100	2025	300	0.02	12.7155767086238	0.0232098765432099	14.7563482791437	0.00715206070404783	0.178375811909637	0.861702127659574	0.144829229256969	3.61211019117015	2	100	1
SPAC10F6.06	38	133	241	100	890	300	0.38	241.595957463853	0.149438202247191	95.00964619365	0.195921080231405	0.415207610552799	2.54285714285714	1.7436976140595	3.69534773391991	17	121	0.140608126015788
SPAC10F6.07c	1	38	14	100	366	300	0.01	6.35778835431192	0.103825136612022	66.0098244436756	0.0013417190345932	0.177523570277566	0.0963157894736842	0.00491069166661111	0.649736267215892	9	92	1
SPAC10F6.08c	44	56	14	100	983	300	0.44	279.742687589724	0.0569684638860631	36.2193436257851	0.519807375310929	1.18646704590166	7.72357142857143	5.10970649930643	11.6629710612133	7	137	1.55596576423391e-13
SPAC10F6.09c	5	276	70	100	3689	300	0.05	31.7889417715596	0.074817023583627	47.5670801244264	0.00661242869182202	0.045363716761156	0.668297101449275	0.243932494441314	1.67346751131905	7	98	1
SPAC10F6.10	0	83	31	100	1670	300	0	0	0.0497005988023952	31.5985888268197	0.00109800574614357	0.0583369154812046	0	0.0183366959605977	0.974226488536116	4	96	1
SPAC10F6.11c	7	150	5	100	2545	300	0.07	44.5045184801834	0.0589390962671906	37.4722299861213	0.0200713804903771	0.102848405543663	1.18766666666667	0.510816633480096	2.61749192108622	5	102	1
SPAC10F6.12c	8	72	9	100	987	300	0.08	50.8623068344953	0.0729483282674772	46.3790031925489	0.0495980620710347	0.238658751428835	1.09666666666667	0.489532872641113	2.3555618766026	7	101	1
SPAC10F6.13c	32	127	27	100	1199	300	0.32	203.449227337981	0.105921601334445	67.3427123434206	0.167684072669675	0.37685055039763	3.02110236220472	2.01053203130941	4.51843809926758	12	120	0.021576290822531
SPAC10F6.14c	3	87	63	100	1579	300	0.03	19.0733650629357	0.0550981633945535	35.0302461573867	0.0087236820042207	0.112590447973692	0.54448275862069	0.137746938846645	1.7778031735046	5	98	1
SPAC10F6.15	0	18	0	100	1234	300	0	0	0.0145867098865478	9.27392142444202	0.00511285240857114	0.280011224227739	0	0.0630925987217678	3.45533850697029	1	99	1
