V4	dis2ts_DMSO_30Cr1_pr_counts	dis2ts_DMSO_30Cr1gb_counts	dis2ts_DMSO_30Cr1term_counts	dis2ts_DMSO_30Cr1pr_map	dis2ts_DMSO_30Cr1gb_map	dis2ts_DMSO_30Cr1term_map	dis2ts_DMSO_30Cr1pr_density	dis2ts_DMSO_30Cr1pr_densityRPKM	dis2ts_DMSO_30Cr1gb_density	dis2ts_DMSO_30Cr1gb_densityRPKM	dis2ts_DMSO_30Cr1pause_index_CI_low	dis2ts_DMSO_30Cr1pause_index_CI_high	dis2ts_DMSO_30Cr1pause_index_scaled	dis2ts_DMSO_30Cr1pause_index_CI_low_scaled	dis2ts_DMSO_30Cr1pause_index_CI_high_scaled	dis2ts_DMSO_30Cr1_ExpPR	dis2ts_DMSO_30Cr1_ExpGB	dis2ts_DMSO_30Cr1Fexact_Pval
SPAC1039.07c	6	48	16	100	1430	300	0.06	28.6176392450858	0.0335664335664336	16.0098681091389	0.0482030967525859	0.304032523084822	1.7875	0.689304283561979	4.34766508011296	3	103	1
SPAC1039.08	4	41	7	100	995	300	0.04	19.0784261633905	0.0412060301507538	19.65365509294	0.0297199977772654	0.284166864484639	0.970731707317073	0.295713977883791	2.82746030162215	4	100	1
SPAC1039.09	1	70	3	100	3060	300	0.01	4.76960654084763	0.0228758169934641	10.9108646359259	0.000736193769851976	0.0947130282636387	0.437142857142857	0.0225275293574705	2.89821866486735	2	99	1
SPAC1039.10	0	6	5	100	888	300	0	0	0.00675675675675676	3.22270712219434	0.0157393406208896	0.93492067967121	0	0.139765344713499	8.30209563548035	0	100	1
SPAC1039.11c	0	95	19	100	3471	300	0	0	0.0273696341112071	13.054238587742	0.000958984579164924	0.0508974270961784	0	0.0332863547428145	1.76664969450835	2	98	1
SPAC105.01c	32	308	31	100	3151	300	0.32	152.627409307124	0.097746747064424	46.6213524145055	0.0709115473926741	0.151425319223679	3.27376623376623	2.23442285834316	4.77141180873811	11	121	0.00192222438213771
SPAC105.02c	27	198	46	100	1418	300	0.27	128.779376602886	0.139633286318759	66.5995835746001	0.0892534851105143	0.206960327313533	1.93363636363636	1.26561441886709	2.93469744130589	15	112	1
SPAC105.03c	5	216	30	100	2487	294	0.05	23.8480327042381	0.0868516284680338	41.4248095224402	0.00842918481487139	0.0581168037474573	0.575694444444444	0.209633826345852	1.44536490919926	8	97	1
SPAC1071.01c	20	305	28	100	2319	300	0.2	95.3921308169525	0.13152220784821	62.7309182819546	0.040541878483526	0.104907766278466	1.52065573770492	0.940166162032968	2.43281109999763	13	107	1
SPAC1071.02	3	158	29	100	3405	300	0.03	14.3088196225429	0.0464023494860499	22.1320949619361	0.00484803827694249	0.0613238949457452	0.646518987341772	0.165075703329892	2.08807862290262	4	99	1
