V4	CDK9as_dis2ts_DMSO_18Cr1_pr_counts	CDK9as_dis2ts_DMSO_18Cr1gb_counts	CDK9as_dis2ts_DMSO_18Cr1term_counts	CDK9as_dis2ts_DMSO_18Cr1pr_map	CDK9as_dis2ts_DMSO_18Cr1gb_map	CDK9as_dis2ts_DMSO_18Cr1term_map	CDK9as_dis2ts_DMSO_18Cr1pr_density	CDK9as_dis2ts_DMSO_18Cr1pr_densityRPKM	CDK9as_dis2ts_DMSO_18Cr1gb_density	CDK9as_dis2ts_DMSO_18Cr1gb_densityRPKM	CDK9as_dis2ts_DMSO_18Cr1pause_index_CI_low	CDK9as_dis2ts_DMSO_18Cr1pause_index_CI_high	CDK9as_dis2ts_DMSO_18Cr1pause_index_scaled	CDK9as_dis2ts_DMSO_18Cr1pause_index_CI_low_scaled	CDK9as_dis2ts_DMSO_18Cr1pause_index_CI_high_scaled	CDK9as_dis2ts_DMSO_18Cr1_ExpPR	CDK9as_dis2ts_DMSO_18Cr1_ExpGB	CDK9as_dis2ts_DMSO_18Cr1Fexact_Pval
SPAC1039.11c	0	143	24	100	3471	300	0	0	0.0411985018726592	17.8330351122977	0.000636586070427234	0.033704460224544	0	0.0220959025045293	1.16988181439392	3	97	1
SPAC105.01c	33	291	18	100	3151	300	0.33	142.842611249505	0.0923516344017772	39.9749957912408	0.0777463101916777	0.164587286570189	3.57329896907217	2.44978623413976	5.18614539982664	11	122	0.000229530315224666
SPAC105.02c	19	192	48	100	1418	300	0.19	82.2427155678968	0.13540197461213	58.609610975563	0.0599053332224588	0.16159005147132	1.40322916666667	0.849457625094466	2.29134692986331	14	105	1
SPAC105.03c	5	226	32	100	2487	294	0.05	21.6428198862886	0.0908725371934057	39.3347591017389	0.00806010020975228	0.055515672192639	0.550221238938053	0.200454692216539	1.38067476743093	8	97	1
SPAC1071.01c	19	414	32	100	2319	300	0.19	82.2427155678968	0.178525226390686	77.2757863986502	0.028129603313961	0.0739867198005315	1.06427536231884	0.652325500850756	1.71575203217433	18	101	1
SPAC1071.02	7	162	35	100	3405	300	0.07	30.2999478408041	0.0475770925110132	20.594048878583	0.0186099849866448	0.0950900269846646	1.4712962962963	0.633669988795254	3.23781541882783	4	103	1
SPAC1071.03c	12	169	41	100	1677	300	0.12	51.9427677270927	0.10077519379845	43.6211873677135	0.0376578403110854	0.130775380318064	1.19076923076923	0.631521982016903	2.19310312793393	10	102	1
SPAC1071.04c	1	22	22	100	331	300	0.01	4.32856397725772	0.0664652567975831	28.7699116313202	0.0022789459676721	0.315231910448174	0.150454545454545	0.00754331115299464	1.04341762358346	6	95	1
SPAC1071.05	13	118	26	100	1458	300	0.13	56.2713317043504	0.0809327846364883	35.0322736156661	0.0593620062650957	0.200349009234486	1.60627118644068	0.865498051345096	2.9210885546388	8	105	1
SPAC1071.06	43	141	22	100	1678	300	0.43	186.128251022082	0.0840286054827175	36.3723194751692	0.213531089954887	0.434313036847087	5.11730496453901	3.58305168944301	7.28777275829412	11	132	1.05503322510499e-09
