V4	ePRO_Cdk9as_5min_r1_pr_counts	ePRO_Cdk9as_5min_r1gb_counts	ePRO_Cdk9as_5min_r1term_counts	ePRO_Cdk9as_5min_r1pr_map	ePRO_Cdk9as_5min_r1gb_map	ePRO_Cdk9as_5min_r1term_map	ePRO_Cdk9as_5min_r1pr_density	ePRO_Cdk9as_5min_r1pr_densityRPKM	ePRO_Cdk9as_5min_r1gb_density	ePRO_Cdk9as_5min_r1gb_densityRPKM	ePRO_Cdk9as_5min_r1pause_index_CI_low	ePRO_Cdk9as_5min_r1pause_index_CI_high	ePRO_Cdk9as_5min_r1pause_index_scaled	ePRO_Cdk9as_5min_r1pause_index_CI_low_scaled	ePRO_Cdk9as_5min_r1pause_index_CI_high_scaled	ePRO_Cdk9as_5min_r1_ExpPR	ePRO_Cdk9as_5min_r1_ExpGB	ePRO_Cdk9as_5min_r1Fexact_Pval
SPCP1E11.05c	3	277	271	100	2282	300	0.03	10.6657716899133	0.121384750219106	43.1554010824713	0.00277886663534893	0.0347782706139232	0.247148014440433	0.0634137366186625	0.793640135409728	11	92	1
SPCP1E11.06	12	648	20	100	2611	300	0.12	42.6630867596532	0.248180773649943	88.234648985878	0.00997752269511418	0.0335485294887773	0.483518518518518	0.260513117569431	0.875952104951975	22	90	1
SPCP1E11.07c	2	33	6	100	957	300	0.02	7.11051445994221	0.0344827586206897	12.2595076895555	0.0100598497413364	0.258222095273969	0.58	0.096272762024589	2.47118545177188	3	99	1
SPCP1E11.08	1	385	17	100	1068	300	0.01	3.5552572299711	0.360486891385768	128.162362690906	0.00013526666612208	0.0169333394458129	0.0277402597402597	0.00144464799418382	0.180848065281282	26	75	1
SPCP1E11.09c	39	898	193	100	404	300	0.39	138.655031968873	2.22277227722772	790.252720919319	0.0310778666394139	0.0604460551043624	0.175456570155902	0.125554581223232	0.244202062621624	95	44	1
SPCP1E11.10	7	89	36	100	530	300	0.07	24.8868006097977	0.167924528301887	59.701489333477	0.0334077832418725	0.175700955432706	0.41685393258427	0.177061251181924	0.931215063793344	15	92	1
SPCP1E11.11	73	744	98	100	1790	300	0.73	259.53377778789	0.415642458100559	147.771585424497	0.0765600791712031	0.12555585964333	1.75631720430108	1.37042541716454	2.2474498876156	50	123	1
SPCP20C8.01c	0	1	0	0	105	0	NA	NA	0.00952380952380952	3.38595926663915	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPCP20C8.02c	0	6	0	100	617	0	0	0	0.00972447325769854	3.45730038570934	0.0157393406208896	0.93492067967121	0	0.0971117316308887	5.76846059357137	0	100	1
SPCP20C8.03	0	2	0	88	441	300	0	0	0.00453514739229025	1.61236155554245	0.0514242900386907	4.05388820080272	0	0.257705817125712	20.3155079153864	0	88	1
SPCP20C8.04	0	0	0	100	36	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPCP25A2.02c	4	580	21	100	3506	300	0.04	14.2210289198844	0.165430690245294	58.8148657553691	0.00220119783633586	0.0190448003153518	0.241793103448276	0.0771739961419351	0.667710699056232	14	90	1
SPCP25A2.03	2	228	13	100	2390	300	0.02	7.11051445994221	0.095397489539749	33.9162614407285	0.0015098621918123	0.0356630154481362	0.209649122807018	0.036085706384314	0.852346069210456	8	94	1
SPCP31B10.02	8	76	32	100	456	300	0.08	28.4420578397688	0.166666666666667	59.254287166185	0.047085954300955	0.225588097156846	0.48	0.214711951612355	1.02868172303522	15	93	1
SPCP31B10.03c	10	38	23	100	689	300	0.1	35.552572299711	0.0551523947750363	19.6080950274168	0.12303716857667	0.548075918076991	1.81315789473684	0.84772609149326	3.77624307555047	5	105	1
