V4	ePRO_Cdk9as_7min30sec_r2_pr_counts	ePRO_Cdk9as_7min30sec_r2gb_counts	ePRO_Cdk9as_7min30sec_r2term_counts	ePRO_Cdk9as_7min30sec_r2pr_map	ePRO_Cdk9as_7min30sec_r2gb_map	ePRO_Cdk9as_7min30sec_r2term_map	ePRO_Cdk9as_7min30sec_r2pr_density	ePRO_Cdk9as_7min30sec_r2pr_densityRPKM	ePRO_Cdk9as_7min30sec_r2gb_density	ePRO_Cdk9as_7min30sec_r2gb_densityRPKM	ePRO_Cdk9as_7min30sec_r2pause_index_CI_low	ePRO_Cdk9as_7min30sec_r2pause_index_CI_high	ePRO_Cdk9as_7min30sec_r2pause_index_scaled	ePRO_Cdk9as_7min30sec_r2pause_index_CI_low_scaled	ePRO_Cdk9as_7min30sec_r2pause_index_CI_high_scaled	ePRO_Cdk9as_7min30sec_r2_ExpPR	ePRO_Cdk9as_7min30sec_r2_ExpGB	ePRO_Cdk9as_7min30sec_r2Fexact_Pval
SPAC1006.03c	79	1125	53	100	2770	300	0.79	148.596151961573	0.406137184115523	76.3929401621209	0.0555102992983432	0.0887113086379034	1.94515555555556	1.53763529056411	2.45730324926993	51	128	0.108730856881899
SPAC1006.04c	5	158	93	100	3993	300	0.05	9.40481974440333	0.0395692461808164	7.44283255504997	0.0114775337113261	0.0798023113198048	1.26360759493671	0.45829792109325	3.1865062909998	3	102	1
SPAC1006.05c	49	1238	15	100	2032	300	0.49	92.1672334951527	0.609251968503937	114.598098854048	0.0294220878111352	0.0530920241757951	0.804264943457189	0.597856824322266	1.07882993125216	56	93	1
SPAC1006.06	20	2159	37	100	4139	300	0.2	37.6192789776133	0.521623580575018	98.1155149947658	0.00580260128212045	0.0146228965237401	0.38341824918944	0.240169667066965	0.605241687117603	41	79	1
SPAC1006.07	121	2821	581	100	1302	300	1.21	227.596637814561	2.16666666666667	407.542188924144	0.0355988031999842	0.0516428868301093	0.558461538461538	0.463496417663794	0.672390386528023	151	70	1
SPAC1006.08	8	395	86	100	1457	300	0.08	15.0477115910453	0.271105010295127	50.9938750726056	0.00934582226584399	0.0419816780527023	0.295088607594937	0.136168630413347	0.611673049227873	23	85	1
SPAC1006.09	42	2033	37	100	4844	300	0.42	79.000485852988	0.419694467382329	78.9430162690833	0.01502623344158	0.0282997584084962	1.00072798819479	0.727870747910135	1.37084029730756	41	101	1
SPAC1039.01	0	239	30	100	2977	300	0	0	0.0802821632515956	15.1007854814404	0.000380648101514704	0.0201148873794856	0	0.0113318939820927	0.598820197287288	7	93	1
SPAC1039.02	2	286	91	100	2733	300	0.02	3.76192789776133	0.104646908159532	19.6837061609905	0.00120519689411152	0.0283847962900719	0.191118881118881	0.0329380311160679	0.775756482607666	9	93	1
SPAC1039.03	7	193	14	100	1499	300	0.07	13.1667476421647	0.128752501667779	24.2178813965289	0.0156637867238452	0.079580692147128	0.543678756476684	0.23480016299044	1.19291457528545	12	95	1
