V4	dis2ts_DMSO_18Cr1_pr_counts	dis2ts_DMSO_18Cr1gb_counts	dis2ts_DMSO_18Cr1term_counts	dis2ts_DMSO_18Cr1pr_map	dis2ts_DMSO_18Cr1gb_map	dis2ts_DMSO_18Cr1term_map	dis2ts_DMSO_18Cr1pr_density	dis2ts_DMSO_18Cr1pr_densityRPKM	dis2ts_DMSO_18Cr1gb_density	dis2ts_DMSO_18Cr1gb_densityRPKM	dis2ts_DMSO_18Cr1pause_index_CI_low	dis2ts_DMSO_18Cr1pause_index_CI_high	dis2ts_DMSO_18Cr1pause_index_scaled	dis2ts_DMSO_18Cr1pause_index_CI_low_scaled	dis2ts_DMSO_18Cr1pause_index_CI_high_scaled	dis2ts_DMSO_18Cr1_ExpPR	dis2ts_DMSO_18Cr1_ExpGB	dis2ts_DMSO_18Cr1Fexact_Pval
SPAC1002.18	1	544	128	100	1505	300	0.01	4.94809693717748	0.361461794019934	178.854799589671	9.57967002993593e-05	0.0119710007501961	0.0276654411764706	0.00144174033950536	0.180163561290451	26	75	1
SPAC1002.19	22	7681	1409	100	1563	300	0.22	108.858132617904	4.91426743442099	2431.62716407295	0.00183868064076087	0.00441821279459112	0.044767608384325	0.0287385784150924	0.0690566659794592	101	21	1
SPAC1002.20	1	4	18	100	548	300	0.01	4.94809693717748	0.0072992700729927	3.61174958918064	0.0106420142837121	2.34682041637603	1.37	0.0583182382747424	12.8605758817406	0	101	1
SPAC1006.01	28	420	109	100	1664	300	0.28	138.546714240969	0.252403846153846	124.891869808566	0.0445704721706336	0.0990631539011591	1.10933333333333	0.741652656919343	1.64841088091529	25	103	1
SPAC1006.02	79	151	24	100	1217	300	0.79	390.899658037021	0.124075595727198	61.3938075196219	0.394863265783249	0.692607949920114	6.36708609271523	4.80548594458215	8.42903875052779	19	160	9.80466430459497e-21
SPAC1006.03c	16	270	40	100	2770	300	0.16	79.1695509948396	0.0974729241877256	48.2305477631018	0.0345310086859111	0.100145939790508	1.64148148148148	0.956508940599737	2.77404253219709	10	106	1
SPAC1006.04c	13	95	20	100	3993	300	0.13	64.3252601833072	0.0237916353618833	11.7723318064578	0.0731894031111317	0.250799372015756	5.4641052631579	2.92245286622749	10.0144189245891	2	111	0.0306541038385056
SPAC1006.05c	32	375	42	100	2032	300	0.32	158.339101989679	0.184547244094488	91.3157653268481	0.0584335390219793	0.123955230126721	1.73397333333333	1.18736951292662	2.51877027617497	20	112	1
SPAC1006.06	9	570	37	100	4139	300	0.09	44.5328724345973	0.137714423773858	68.142431848059	0.00766277474685626	0.0313421001326599	0.653526315789474	0.317162246772381	1.29724952449079	13	96	1
SPAC1006.07	106	485	172	100	1302	300	1.06	524.498275340812	0.372503840245776	184.318511100697	0.176115574056546	0.271010875628262	2.84560824742268	2.29302477421622	3.52856160067997	55	151	2.11546019899998e-08
