V4	Mcs6as_Cdk9as_DMSOr1_pr_counts	Mcs6as_Cdk9as_DMSOr1gb_counts	Mcs6as_Cdk9as_DMSOr1term_counts	Mcs6as_Cdk9as_DMSOr1pr_map	Mcs6as_Cdk9as_DMSOr1gb_map	Mcs6as_Cdk9as_DMSOr1term_map	Mcs6as_Cdk9as_DMSOr1pr_density	Mcs6as_Cdk9as_DMSOr1pr_densityRPKM	Mcs6as_Cdk9as_DMSOr1gb_density	Mcs6as_Cdk9as_DMSOr1gb_densityRPKM	Mcs6as_Cdk9as_DMSOr1pause_index_CI_low	Mcs6as_Cdk9as_DMSOr1pause_index_CI_high	Mcs6as_Cdk9as_DMSOr1pause_index_scaled	Mcs6as_Cdk9as_DMSOr1pause_index_CI_low_scaled	Mcs6as_Cdk9as_DMSOr1pause_index_CI_high_scaled	Mcs6as_Cdk9as_DMSOr1_ExpPR	Mcs6as_Cdk9as_DMSOr1_ExpGB	Mcs6as_Cdk9as_DMSOr1Fexact_Pval
SPAC1071.12c	4	61	31	100	736	300	0.04	6.95584067160033	0.0828804347826087	14.4125774785197	0.0203012769644196	0.187466910912225	0.482622950819672	0.149417398458129	1.37975646431397	7	97	1
SPAC1071.13	4	735	104	100	3378	300	0.04	6.95584067160033	0.217584369449378	37.8370551630124	0.00173833647371593	0.0150155350910432	0.183836734693878	0.0587210060821241	0.507224775375439	18	86	1
SPAC1093.01	145	3788	97	100	5223	300	1.45	252.149224345512	0.72525368562129	126.118727091815	0.0323098430322027	0.0453250202978153	1.99930042238648	1.68754310157195	2.36732581015489	102	143	0.000490134386663104
SPAC1093.02	106	336	47	100	992	300	1.06	184.329777797409	0.338709677419355	58.9002637514544	0.252044527364628	0.394587049794588	3.12952380952381	2.50028171145711	3.91430353396231	52	154	8.45402242306467e-10
SPAC1093.03	13	507	56	100	3353	300	0.13	22.6064821827011	0.151207873546078	26.2944469169502	0.0141533774295539	0.0454696748426648	0.85974358974359	0.474562745212944	1.52459819747455	14	99	1
SPAC1093.04c	24	503	5	100	4949	300	0.24	41.735044029602	0.101636694281673	17.6742162952868	0.0309517059381301	0.0729383986311956	2.36135188866799	1.53179992687806	3.60972134825787	11	113	1
SPAC1093.05	66	683	91	100	2479	300	0.66	114.771371081405	0.27551432029044	47.910842867114	0.0744211697126795	0.125250731949059	2.39551976573938	1.84490079717732	3.10496564501717	35	131	0.00145261578079944
SPAC1093.06c	18	2573	55	100	12942	300	0.18	31.3012830222015	0.198810075722454	34.5722802658547	0.00426758270588913	0.0113171162558788	0.905386708122814	0.552310553796171	1.46466118583584	19	99	1
SPAC1093.07	0	243	19	100	1791	300	0	0	0.135678391959799	23.5939319262825	0.000374376551471203	0.0197825416165844	0	0.00670508403684925	0.354305320353027	11	89	1
SPAC10F6.01c	372	8089	402	100	4905	300	3.72	646.893182458831	1.64913353720693	286.777753275102	0.0413897081861566	0.0510911011023157	2.25573000370874	2.03016518653098	2.50601850906859	293	179	1.32001672198576e-10
SPAC10F6.02c	18	619	29	100	3591	300	0.18	31.3012830222015	0.172375382901699	29.9753924792579	0.0176424746333914	0.0473066704405087	1.04423263327948	0.633541264085085	1.69878253551867	17	101	1
SPAC10F6.03c	177	2585	363	100	2113	300	1.77	307.795949718315	1.22337908187411	212.740749362126	0.0586195610740957	0.07994768622167	1.44681237911025	1.23863132549564	1.68929460986389	152	125	1
SPAC10F6.04	0	439	6	100	2665	300	0	0	0.164727954971857	28.6455352235698	0.000207144258746632	0.0109320116870667	0	0.00552039449559776	0.291338111460327	14	86	1
SPAC10F6.05c	4	324	70	100	2025	300	0.04	6.95584067160033	0.16	27.8233626864013	0.00392909862906978	0.0342032777320068	0.25	0.0795642472386631	0.692616374073138	14	90	1
SPAC10F6.06	280	1292	684	100	890	300	2.8	486.908847012023	1.45168539325843	252.442307519877	0.190037777696912	0.24709926408387	1.92879256965944	1.69133622150252	2.19918345034644	225	155	0.000215581394797384
SPAC10F6.07c	59	92	32	100	366	300	0.59	102.598649906105	0.251366120218579	43.7115670619693	0.456510421714739	0.899981049710093	2.34717391304348	1.67082814347595	3.29393064193894	31	128	0.144466696345232
SPAC10F6.08c	26	362	43	100	983	300	0.26	45.2129643654021	0.368260427263479	64.0390214425056	0.0472054354074579	0.108480451108737	0.706022099447514	0.464029430055311	1.06636283439888	33	93	1
SPAC10F6.09c	112	892	75	100	3689	300	1.12	194.763538804809	0.241799945784766	42.0480474320107	0.102637429361563	0.1534830890677	4.63192825112108	3.78629476914807	5.66199115570745	41	171	6.03732524667872e-22
SPAC10F6.10	18	403	60	100	1670	300	0.18	31.3012830222015	0.241317365269461	41.9641286026188	0.0269952174792393	0.0729482461084705	0.74590570719603	0.450820131903297	1.21823571001146	22	96	1
SPAC10F6.11c	17	387	11	100	2545	300	0.17	29.5623228543014	0.152062868369352	26.4431271110936	0.0261428509199346	0.0727747841275467	1.11795865633075	0.665335555912335	1.85211825604606	15	102	1
SPAC10F6.12c	88	164	35	100	987	300	0.88	153.028494775207	0.166160081053698	28.894576244743	0.410702717697976	0.700561668798974	5.29609756097561	4.05363582367903	6.91454367104588	26	162	4.25776660001406e-18
SPAC10F6.13c	467	939	150	100	1199	300	4.67	812.094398409338	0.783152627189324	136.187122406854	0.444393872902731	0.556555193400937	5.96307774227902	5.32828253610374	6.67309676887723	249	318	4.54849345009011e-60
SPAC10F6.14c	31	495	459	100	1579	300	0.31	53.9077652049025	0.313489550348322	54.5145841108639	0.0427884637917363	0.0911441859285568	0.988868686868687	0.675629843271516	1.43916669581191	31	100	1
SPAC10F6.15	2	20	3	100	1234	300	0.02	3.47792033580016	0.0162074554294976	2.81841194149122	0.0161614422706158	0.441429443740588	1.234	0.199432197619398	5.44723933575885	1	101	1
SPAC10F6.16	52	526	180	100	1061	300	0.52	90.4259287308043	0.495758718190386	86.2104663822284	0.0735446759661992	0.132550901920119	1.04889733840304	0.780309012001374	1.40636506937246	50	102	1
SPAC10F6.17c	42	241	24	100	1801	300	0.42	73.0363270518035	0.133814547473626	23.269816794221	0.123803933590465	0.244506014547644	3.13867219917012	2.22970884396427	4.40355332200308	16	126	0.000304045811306235
SPAC110.01	8	4787	243	100	5792	300	0.08	13.9116813432007	0.826484806629834	143.722415810388	0.000776580216752379	0.00343851123600418	0.0967954877794025	0.0449795261542978	0.199158570789362	48	60	1
SPAC110.02	50	690	670	100	3853	300	0.5	86.9480083950041	0.179081235400986	31.1415135180653	0.0537805871136346	0.0973707336934394	2.79202898550725	2.07216602148834	3.75169436920822	22	128	0.000319838289859464
SPAC110.03	295	1009	157	100	1448	300	2.95	512.993249530524	0.69682320441989	121.174779655468	0.256238821363611	0.333540211345638	4.23349851337958	3.71033813334508	4.82966226028483	162	233	1.5932836282201e-32
SPAC110.04c	212	3128	246	100	2755	300	2.12	368.659555594817	1.13539019963702	197.439833219291	0.0588229855800755	0.0780649823420507	1.86719948849105	1.62057325273108	2.1506902635235	165	147	0.00105468460734641
SPAC110.05	7	165	91	100	1707	300	0.07	12.1727211753006	0.0966608084358524	16.8089295666968	0.0182772947137903	0.0933298877917029	0.724181818181818	0.311993420764401	1.59314118460437	9	98	1
