V4	Isk1as_DMSOr2_pr_counts	Isk1as_DMSOr2gb_counts	Isk1as_DMSOr2term_counts	Isk1as_DMSOr2pr_map	Isk1as_DMSOr2gb_map	Isk1as_DMSOr2term_map	Isk1as_DMSOr2pr_density	Isk1as_DMSOr2pr_densityRPKM	Isk1as_DMSOr2gb_density	Isk1as_DMSOr2gb_densityRPKM	Isk1as_DMSOr2pause_index_CI_low	Isk1as_DMSOr2pause_index_CI_high	Isk1as_DMSOr2pause_index_scaled	Isk1as_DMSOr2pause_index_CI_low_scaled	Isk1as_DMSOr2pause_index_CI_high_scaled	Isk1as_DMSOr2_ExpPR	Isk1as_DMSOr2_ExpGB	Isk1as_DMSOr2Fexact_Pval
SPAC1006.04c	64	245	228	100	3993	300	0.64	77.2033007788727	0.0613573754069622	7.40154985710298	0.196453593385621	0.346784627881825	10.430693877551	7.84439198388785	13.8471101913213	9	155	1.15773251372297e-29
SPAC1006.05c	366	1145	71	100	2032	300	3.66	441.506376329178	0.563484251968504	67.9731940451289	0.283652212609299	0.360177741738598	6.49530131004367	5.76381296022096	7.3188117121283	167	299	1.38477169682343e-64
SPAC1006.06	87	1895	55	100	4139	300	0.87	104.94823699628	0.457840057985021	55.2293182894282	0.0368032121139734	0.0572019986161501	1.90022691292876	1.52328494939736	2.36759072272245	58	129	0.09918308130923
SPAC1006.07	1616	4013	1663	100	1302	300	16.16	1949.38334466654	3.08218125960061	371.804010687424	0.379932869913989	0.426808301191105	5.24304011961126	4.94672596628014	5.55704408150819	1295	421	6.14995924737746e-73
SPAC1006.08	15	195	509	100	1457	300	0.15	18.0945236200483	0.133836650652025	16.1447362430081	0.0437729696745732	0.132933672859556	1.12076923076923	0.637772168158531	1.93684361356373	13	102	1
SPAC1006.09	460	3293	132	100	4844	300	4.6	554.898724348148	0.679810074318745	82.0055963127154	0.126548195277808	0.154182885774152	6.76659580929244	6.12999457925703	7.46861898689993	226	334	1.06293981364192e-81
SPAC1039.01	14	1411	126	100	2977	300	0.14	16.8882220453784	0.47396708095398	57.1747236096476	0.005630925683169	0.0171492176715684	0.295379163713678	0.167632657587941	0.510532210082592	36	78	1
SPAC1039.02	11	1874	360	100	2733	300	0.11	13.2693173213688	0.685693377241127	82.7153000706684	0.00308150020977	0.0108747724947204	0.160421558164354	0.084217400733014	0.297207532280709	45	66	1
SPAC1039.03	35	476	49	100	1499	300	0.35	42.220555113446	0.317545030020013	38.3055069741738	0.051335789482568	0.104825973287553	1.10220588235294	0.769523484343695	1.57134133958042	32	103	1
SPAC1039.04	44	567	25	100	1844	300	0.44	53.077269285475	0.307483731019523	37.0918108914222	0.0563812207082877	0.106455660839622	1.43097001763668	1.03966970986083	1.96304238588262	33	111	1
SPAC1039.05c	7	708	73	100	3153	300	0.07	8.4441110226892	0.224548049476689	27.0872665672781	0.00431516550424909	0.0214495608543676	0.311737288135593	0.136057168348974	0.67630465373821	19	88	1
SPAC1039.06	37	305	48	100	1966	300	0.37	44.6331582627858	0.155137334689725	18.7142411126305	0.0849049174182238	0.172606876712515	2.38498360655738	1.66923067644228	3.39345119616805	18	119	0.247497974932155
SPAC1039.07c	45	324	74	100	1430	300	0.45	54.2835708601449	0.226573426573427	27.3315881253876	0.100375354489845	0.191590976707573	1.98611111111111	1.43536756920479	2.7397509669183	26	119	1
SPAC1039.08	9	114	7	100	995	300	0.09	10.856714172029	0.114572864321608	13.8209426645595	0.0374817616303272	0.160403272134238	0.785526315789474	0.372943528221756	1.59601255773567	11	98	1
SPAC1039.09	2	518	27	100	3060	300	0.02	2.41260314933977	0.169281045751634	20.4203992051961	0.000666910745863849	0.0156274190991126	0.118146718146718	0.0204074688234338	0.478199024432846	14	88	1
SPAC1039.10	0	99	33	100	888	300	0	0	0.111486486486486	13.4486324203062	0.000920150435057037	0.0488220553709562	0	0.00817093586330649	0.433539851694091	10	90	1
SPAC1039.11c	1	541	42	100	3471	300	0.01	1.20630157466989	0.155862863728032	18.8017617947683	9.63270328407041e-05	0.0120375597716629	0.0641589648798521	0.00334351130990084	0.417823699674419	13	88	1
SPAC105.01c	70	874	30	100	3151	300	0.7	84.4411102268921	0.277372262773723	33.4594597353691	0.062287929207289	0.102815270238151	2.52368421052632	1.96269264932168	3.23970916520415	36	134	0.000134162842164443
SPAC105.02c	33	554	133	100	1418	300	0.33	39.8079519641063	0.390691114245416	47.1291306323778	0.0412237695450913	0.0856289095182815	0.844657039711191	0.584553052149394	1.21421793696923	37	96	1
SPAC105.03c	39	893	55	100	2487	294	0.39	47.0457614121256	0.359067149175714	43.314326746289	0.0312506333879882	0.0607869469882421	1.08614781634938	0.777203252359266	1.51177137159758	36	103	1
SPAC1071.01c	376	1151	83	100	2319	300	3.76	453.569392075877	0.496334626994394	59.8729242106528	0.290262103346992	0.367611274956375	7.57553431798436	6.73117817661675	8.52490546623835	157	319	4.56473690613655e-78
SPAC1071.02	33	919	89	100	3405	300	0.33	39.8079519641063	0.269897209985316	32.5577429404295	0.0249556795155658	0.0513992827140198	1.22268770402612	0.849740887505014	1.75014557641237	28	105	1
SPAC1071.03c	49	870	64	100	1677	300	0.49	59.1087771588244	0.518783542039356	62.5809403674896	0.0417659413567891	0.0757347217391692	0.94451724137931	0.700414836553353	1.27007128356587	50	99	1
SPAC1071.04c	9	81	103	100	331	300	0.09	10.856714172029	0.244712990936556	29.5197666308945	0.0521795695917357	0.228400439723762	0.367777777777778	0.172714375348645	0.756005455485653	21	88	1
SPAC1071.05	72	464	148	100	1458	300	0.72	86.8537133762318	0.318244170096022	38.3898443516342	0.120077620586345	0.200225213243963	2.26241379310345	1.75073170814891	2.91928360909698	41	131	0.0054837766332346
SPAC1071.06	350	468	41	100	1678	300	3.5	422.20555113446	0.278903456495828	33.6441678751792	0.649564714015374	0.860993657400252	12.5491452991453	10.899695901178	14.4474735711762	98	352	2.52064220536856e-108
SPAC1071.07c	574	566	691	100	468	300	5.74	692.417103860515	1.20940170940171	145.890318645973	0.901446601012473	1.14091041856259	4.74614840989399	4.21877009273837	5.33946075887292	368	306	1.09600547866191e-37
SPAC1071.08	101	426	676	100	320	300	1.01	121.836459041659	1.33125	160.588897127929	0.189691768526805	0.296081516089141	0.75868544600939	0.607013659285776	0.94746085148525	114	87	1
SPAC1071.09c	337	161	761	100	2232	300	3.37	406.523630663752	0.0721326164874552	8.70136888538762	1.7276205019636	2.53684901631595	46.7195031055901	38.5604896038276	56.622470044172	29	408	1.64273550777413e-211
SPAC1071.10c	1395	23944	1277	100	4273	300	13.95	1682.79069666449	5.60355721975193	675.957989793956	0.0551781451273219	0.0615148464425304	2.48949006014033	2.35776214129047	2.62852938848933	1268	227	3.33865907055447e-19
SPAC1071.11	74	1132	103	100	2136	300	0.74	89.2663165255716	0.529962546816479	63.9294654740782	0.0512894292799964	0.0831921586410849	1.39632508833922	1.09554220942072	1.77698450857357	60	114	1
SPAC1071.12c	10	78	35	100	736	300	0.1	12.0630157466989	0.105978260869565	12.7841742967733	0.0624759447972246	0.255371343767304	0.943589743589744	0.459822953707573	1.87953309012735	10	100	1
SPAC1071.13	6	912	123	100	3378	300	0.06	7.23780944801932	0.269982238010657	32.5679998845156	0.0026667273097462	0.0151501109105032	0.222236842105263	0.0900820485232267	0.511770746556797	22	84	1
SPAC1093.01	259	5844	174	100	5223	300	2.59	312.432107839501	1.11889718552556	134.972743679319	0.0390524015703554	0.0502840470507095	2.31477926078029	2.03970693401966	2.62633577745856	189	170	8.00150618664539e-10
SPAC1093.02	283	503	135	100	992	300	2.83	341.383345631578	0.507056451612903	61.166299602717	0.485064439568306	0.652510927252783	5.58123260437376	4.81183924051759	6.47290839834761	128	255	2.23457669356408e-42
SPAC1093.03	34	685	55	100	3353	300	0.34	41.0142535387761	0.204294661497167	24.6440971860684	0.0346071831747178	0.0708364102781837	1.66426277372263	1.16037885184829	2.3751448366275	22	112	1
SPAC1093.04c	36	628	6	100	4949	300	0.36	43.4268566881159	0.12689432208527	15.3072820548129	0.0403433465026151	0.0810861192620791	2.83700636942675	1.99659221841442	4.01295204228029	15	121	0.00724949019720974
SPAC1093.05	164	815	101	100	2479	300	1.64	197.833458245861	0.328761597418314	39.6585632656699	0.16952798572655	0.238753867414691	4.98841717791411	4.20259876616117	5.9187083732102	65	199	1.03410923400498e-30
SPAC1093.06c	14	3373	49	100	12942	300	0.14	16.8882220453784	0.26062432390666	31.4391532325879	0.00235939300577854	0.00716177369792135	0.537171657278387	0.305352642807859	0.926876751984981	23	91	1
SPAC1093.07	0	260	36	100	1791	300	0	0	0.145170295924065	17.5119156568493	0.000349877136877391	0.0184845540037888	0	0.00626629952147407	0.331058362207857	12	88	1
SPAC10F6.01c	828	10623	624	100	4905	300	8.28	998.817703826666	2.16574923547401	261.25467130924	0.0725747777648185	0.0837073028416603	3.82315730019768	3.55979284936435	4.10584320438344	634	294	1.18385400044575e-44
SPAC10F6.02c	40	679	32	100	3591	300	0.4	48.2520629867955	0.189083820662768	22.8092110610095	0.0422358608750398	0.0818507050016595	2.11546391752577	1.51668976402268	2.93925881660959	22	118	0.972701375787119
SPAC10F6.03c	471	3501	510	100	2113	300	4.71	568.168041669516	1.65688594415523	199.870412348285	0.122046702486003	0.148283464479351	2.84268209083119	2.57884682352924	3.13322960444869	356	215	4.66381543192878e-20
SPAC10F6.04	0	575	9	100	2665	300	0	0	0.215759849906191	26.0271446692377	0.00015813119484886	0.00834227814918805	0	0.00421419634272213	0.222321712675862	17	83	1
SPAC10F6.05c	14	481	124	100	2025	300	0.14	16.8882220453784	0.237530864197531	28.653385551418	0.0164292324982905	0.0505888609648017	0.589397089397089	0.332691958090383	1.02442443453723	21	93	1
SPAC10F6.06	601	1759	1149	100	890	300	6.01	724.987246376602	1.97640449438202	238.413985375767	0.311106648324868	0.375219762347709	3.04087549744173	2.76884917009133	3.33945588489461	465	236	4.17200782507784e-22
SPAC10F6.07c	42	124	45	100	366	300	0.42	50.6646661361352	0.33879781420765	40.8692336773404	0.235006374897562	0.486790933753097	1.23967741935484	0.860123332125077	1.78165481753633	35	107	1
SPAC10F6.08c	85	263	39	100	983	300	0.85	102.53563384694	0.267548321464903	32.2743961483398	0.25114549694122	0.415496912093648	3.17699619771863	2.46876023493219	4.08433464588056	39	146	2.31418261887103e-08
SPAC10F6.09c	218	1187	153	100	3689	300	2.18	262.973743278035	0.321767416644077	38.8148541375212	0.158525733404483	0.212712219225453	6.7750800336984	5.84801430529138	7.84695376722696	77	241	1.2151974675292e-53
