V4	WT_DMSOr1_pr_counts	WT_DMSOr1gb_counts	WT_DMSOr1term_counts	WT_DMSOr1pr_map	WT_DMSOr1gb_map	WT_DMSOr1term_map	WT_DMSOr1pr_density	WT_DMSOr1pr_densityRPKM	WT_DMSOr1gb_density	WT_DMSOr1gb_densityRPKM	WT_DMSOr1pause_index_CI_low	WT_DMSOr1pause_index_CI_high	WT_DMSOr1pause_index_scaled	WT_DMSOr1pause_index_CI_low_scaled	WT_DMSOr1pause_index_CI_high_scaled	WT_DMSOr1_ExpPR	WT_DMSOr1_ExpGB	WT_DMSOr1Fexact_Pval
SPAC1002.16c	4	188	24	100	1906	300	0.04	6.4959635706363	0.0986358866736621	16.018378164738	0.0067397210620988	0.0592595318112127	0.405531914893617	0.128459083443603	1.12948667632171	9	95	1
SPAC1002.17c	7	557	91	100	990	300	0.07	11.3679362486135	0.562626262626263	91.3699926475863	0.0054790782859052	0.0272959215113844	0.124416517055655	0.0542428750304614	0.270229622962706	38	69	1
SPAC1002.18	13	404	60	100	1505	300	0.13	21.111881604568	0.26843853820598	43.5941741285227	0.0177280372919649	0.0571751489742816	0.484282178217822	0.266806961244071	0.860485992062938	23	90	1
SPAC1002.19	4	400	20	100	1563	300	0.04	6.4959635706363	0.255918106206014	41.5608673745124	0.00318650894461988	0.0276660262797083	0.1563	0.0498051348044088	0.432419990751841	21	83	1
SPAC1002.20	0	11	111	100	548	300	0	0	0.0200729927007299	3.25983573343975	0.00843437698064696	0.473726222726494	0	0.0462203858539453	2.59601970054119	1	99	1
SPAC1006.01	75	1017	218	100	1664	300	0.75	121.799316949431	0.611177884615385	99.2547318410023	0.0579017717438567	0.0937874910722861	1.22713864306785	0.963485481817776	1.56062385144284	66	109	1
SPAC1006.02	85	264	36	100	1217	300	0.85	138.039225876021	0.216926869350863	35.2287260198846	0.250223925595049	0.413873316215821	3.91837121212121	3.04522517449174	5.03683825834654	32	153	2.04795194958594e-12
SPAC1006.03c	106	1200	88	100	2770	300	1.06	172.143034621862	0.433212996389892	70.3533960718732	0.0720436859168368	0.108211802981058	2.44683333333333	1.99561009989638	2.99746694257531	62	144	3.41391811346366e-06
SPAC1006.04c	9	268	118	100	3993	300	0.09	14.6159180339317	0.0671174555472076	10.8998136547115	0.0161960000340886	0.0671029559295616	1.3409328358209	0.646706281361159	2.67942103026739	6	103	1
SPAC1006.05c	97	796	36	100	2032	300	0.97	157.52711658793	0.391732283464567	63.6169660706999	0.098121063860584	0.151192981482885	2.47618090452261	1.99382001764707	3.07224138373222	55	142	8.93071027289096e-06
SPAC1006.06	23	1619	22	100	4139	300	0.23	37.3517905311587	0.391157284368205	63.523586741122	0.00919155061229076	0.021757797813037	0.587998764669549	0.380438279842715	0.900555251481601	34	89	1
SPAC1006.07	497	3143	1679	100	1302	300	4.97	807.12347365156	2.41397849462366	392.027909034368	0.143685858669985	0.174010236405349	2.05884187082405	1.87078987988321	2.26561327799765	422	175	9.32557835143335e-08
SPAC1006.08	26	178	196	100	1457	300	0.26	42.2237632091359	0.122168840082361	19.8401083660477	0.0946169153842809	0.223926479531119	2.12820224719101	1.37856845714897	3.2626088067684	13	113	1
SPAC1006.09	152	2375	94	100	4844	300	1.52	246.846615684179	0.490297274979356	79.6238309262036	0.0541266281685619	0.0756355124954054	3.10016	2.62189386848514	3.66378422527744	82	170	1.34639477454956e-14
SPAC1039.01	5	564	73	100	2977	300	0.05	8.11995446329537	0.189452468928451	30.7669084131581	0.00325007818450933	0.0220923664865955	0.263918439716312	0.0967548275528427	0.657689750305948	16	89	1
SPAC1039.02	8	788	180	100	2733	300	0.08	12.9919271412726	0.288327844859129	46.8241794151244	0.00470256096603246	0.0209595265172262	0.27746192893401	0.128520991201667	0.572823859715792	24	84	1
SPAC1039.03	11	262	64	100	1499	300	0.11	17.8638998192498	0.174783188792528	28.3846306788978	0.0217894447306362	0.0787234534656029	0.629351145038168	0.326623776512236	1.18006456744939	16	95	1
SPAC1039.04	8	422	19	100	1844	300	0.08	12.9919271412726	0.22885032537961	37.1650844198552	0.00875211115324021	0.0392753807252859	0.34957345971564	0.16138892966575	0.724238020574273	20	88	1
SPAC1039.05c	0	307	46	100	3153	300	0	0	0.0973675864256264	15.8124073595413	0.000296274071698946	0.0156463109048024	0	0.00934152148066777	0.493328182828419	8	92	1
SPAC1039.06	5	246	55	100	1966	300	0.05	8.11995446329537	0.125127161749746	20.3205371105866	0.00741108977552675	0.0509544755543535	0.399593495934959	0.145702024986856	1.00176498939859	11	94	1
SPAC1039.07c	12	182	43	100	1430	300	0.12	19.4878907119089	0.127272727272727	20.6689749974791	0.0350207425701086	0.121242623513244	0.942857142857143	0.500796618752553	1.73376951623939	12	100	1
SPAC1039.08	2	85	7	100	995	300	0.02	3.24798178531815	0.085427135678392	13.873289032766	0.00400777260120626	0.0969489900390142	0.234117647058824	0.0398773373820023	0.964642450888192	8	94	1
