V4	Cdk9as_DMSOr2_pr_counts	Cdk9as_DMSOr2gb_counts	Cdk9as_DMSOr2term_counts	Cdk9as_DMSOr2pr_map	Cdk9as_DMSOr2gb_map	Cdk9as_DMSOr2term_map	Cdk9as_DMSOr2pr_density	Cdk9as_DMSOr2pr_densityRPKM	Cdk9as_DMSOr2gb_density	Cdk9as_DMSOr2gb_densityRPKM	Cdk9as_DMSOr2pause_index_CI_low	Cdk9as_DMSOr2pause_index_CI_high	Cdk9as_DMSOr2pause_index_scaled	Cdk9as_DMSOr2pause_index_CI_low_scaled	Cdk9as_DMSOr2pause_index_CI_high_scaled	Cdk9as_DMSOr2_ExpPR	Cdk9as_DMSOr2_ExpGB	Cdk9as_DMSOr2Fexact_Pval
SPAC1002.20	0	12	152	100	548	300	0	0	0.0218978102189781	2.339960381148	0.00771806013949717	0.431135285113533	0	0.0422949695644445	2.36262136242216	2	98	1
SPAC1006.01	108	1510	350	100	1664	300	1.08	115.40684599822	0.907451923076923	96.9686706827098	0.0585402191932743	0.087310661708255	1.19014569536424	0.974109247376085	1.45284941082536	98	110	1
SPAC1006.02	170	416	90	100	1217	300	1.7	181.658924256457	0.341824157764996	36.5267110496815	0.34049136677434	0.490306573234927	4.97331730769231	4.14377993364372	5.96703099626906	68	202	1.38603069893809e-28
SPAC1006.03c	142	1836	141	100	2770	300	1.42	151.738630849511	0.662815884476534	70.8273062082936	0.0649520398746619	0.0920435129955787	2.14237472766885	1.79917150452813	2.54960530997753	96	146	4.47888796951684e-05
SPAC1006.04c	36	339	159	100	3993	300	0.36	38.4689486660732	0.0848985725018783	9.07210785388235	0.074127675927868	0.151466507027169	4.24035398230088	2.95991809979977	6.04805762559485	10	126	1.06060682016725e-06
SPAC1006.05c	102	1137	61	100	2032	300	1.02	108.995354553874	0.559547244094488	59.7922061369822	0.0728597344592647	0.110354712149109	1.82290237467018	1.48050980421226	2.2424077508699	72	130	0.178967345223017
SPAC1006.06	46	2398	41	100	4139	300	0.46	49.1547677399824	0.579366996859145	61.9101090583095	0.0141625709705484	0.0258992503669882	0.793969974979149	0.586188812470998	1.07196997268964	53	93	1
SPAC1006.07	757	4646	2349	100	1302	300	7.57	808.916503894928	3.56835637480799	381.308106124287	0.150771473561532	0.176074130373726	2.1214248816186	1.96304458577115	2.29248517746591	669	188	1.21359929988991e-09
SPAC1006.08	24	352	420	100	1457	300	0.24	25.6459657773821	0.24159231297186	25.8161174606455	0.0440405816259107	0.104684315983928	0.993409090909091	0.641671274289519	1.52525048388583	24	100	1
SPAC1006.09	314	3495	128	100	4844	300	3.14	335.534718920749	0.721511147811726	77.0993758532467	0.0799046788819733	0.10099946546421	4.35197711015737	3.87058264504278	4.89241410708631	173	241	6.80441478677239e-39
SPAC1039.01	6	895	108	100	2977	300	0.06	6.41149144434553	0.300638226402419	32.125656940372	0.00271723248797115	0.0154387868994343	0.199575418994413	0.0808920111669011	0.45961268599616	24	82	1
SPAC1039.02	6	1294	355	100	2733	300	0.06	6.41149144434553	0.473472374679839	50.5944013232291	0.00188107615822992	0.0106679020651338	0.126723338485317	0.0514098114044238	0.291553763440106	34	72	1
SPAC1039.03	18	481	93	100	1499	300	0.18	19.2344743330366	0.320880587058039	34.2887189763198	0.022657701446442	0.061007464814523	0.560956340956341	0.339638944682165	0.9145018975697	28	90	1
SPAC1039.04	10	586	48	100	1844	300	0.1	10.6858190739092	0.317787418655098	33.9581885971302	0.00862224649630023	0.032714826409313	0.314675767918089	0.158994225391776	0.603261398987732	26	84	1
SPAC1039.05c	3	527	61	100	3153	300	0.03	3.20574572217276	0.167142404059626	17.8605348935939	0.0014651457486159	0.0182137994972085	0.179487666034156	0.0461960454538592	0.574281098146983	14	89	1
SPAC1039.06	11	316	84	100	1966	300	0.11	11.7544009813001	0.160732451678535	17.1755789794268	0.0181068616286265	0.0651160478166356	0.684367088607595	0.355980899618797	1.28018150007506	15	96	1
SPAC1039.07c	10	273	87	100	1430	300	0.1	10.6858190739092	0.190909090909091	20.4002000501903	0.0183876000495502	0.0707059391207009	0.523809523809524	0.262942680708567	1.01109492942602	17	93	1
SPAC1039.08	4	134	6	100	995	300	0.04	4.27432762956369	0.134673366834171	14.3909523206416	0.00941344856261679	0.0835635701451322	0.297014925373134	0.093663813198037	0.831457522944066	12	92	1
SPAC1039.09	0	109	8	100	3060	300	0	0	0.0356209150326797	3.80638653286309	0.000835560283165414	0.0443055814757538	0	0.0255681446648617	1.35575079315807	3	97	1
SPAC1039.10	0	44	13	100	888	300	0	0	0.0495495495495495	5.29477521680186	0.00207619104953031	0.11112403209408	0	0.0184365765198291	0.986781404995432	4	96	1
SPAC1039.11c	0	588	111	100	3471	300	0	0	0.169403630077787	18.1021654147468	0.000154633775196495	0.00815755574995214	0	0.00536733833707035	0.283148760080839	14	86	1
SPAC105.01c	106	1048	73	100	3151	300	1.06	113.269682183438	0.332592827673754	35.540267818016	0.082392466565072	0.12405837134418	3.18708015267176	2.59618662146542	3.90907928105511	51	155	1.3363793789645e-11
SPAC105.02c	90	782	348	100	1418	300	0.9	96.1723716651829	0.55148095909732	58.9302575161989	0.0919487695375219	0.143896194443614	1.63196930946292	1.30383355204206	2.04044803721044	67	123	1
SPAC105.03c	23	912	27	100	2487	294	0.23	24.5773838699912	0.36670687575392	39.185633274649	0.016277974448032	0.038719533635897	0.627203947368421	0.404833224522555	0.962954801524759	33	90	1
SPAC1071.01c	82	1290	68	100	2319	300	0.82	87.6237164060556	0.55627425614489	59.4424605663773	0.0505105784757763	0.0798913449145221	1.47409302325581	1.17134031485325	1.85268028856777	65	117	1
SPAC1071.02	54	1044	53	100	3405	300	0.54	57.7034229991098	0.306607929515418	32.7635686142767	0.0389493671486262	0.0685197095626769	1.76120689655172	1.32622595141072	2.33309611060915	36	118	1
